accuracy,nll,ece,brier,entropy,prob_variance,per_class_accuracy_mean,per_class_accuracy_min,eval_seconds,sample_count,method,dataset,seed,model_variant
0.8886,0.3151419460773468,0.01152443336248395,0.16274677217006683,0.2812952697277069,0.0,0.8886,0.536,0.10493835480883718,1,deterministic,fashion_mnist,456,deterministic
0.8467,4.235836029052734,0.1533,0.30660000443458557,0.0,0.0,0.8467,0.486,0.10526181990280747,1,output_sample,fashion_mnist,456,deterministic
0.8732,1.5110585689544678,0.037760007047653164,0.19094400107860565,0.18546433746814728,0.01190160121768713,0.8732,0.498,0.5040048928931355,5,output_sample,fashion_mnist,456,deterministic
0.8839,0.7625415921211243,0.019269980707764638,0.16911649703979492,0.2427334040403366,0.013913349248468876,0.8839,0.525,1.9974168590269983,20,output_sample,fashion_mnist,456,deterministic
0.4921,2.6759917736053467,0.1985246353432536,0.7498795986175537,1.0856293439865112,0.0,0.4920999999999999,0.181,0.10666420077905059,1,hidden_categorical,fashion_mnist,456,deterministic
0.5643,1.2099671363830566,0.10325994018316267,0.5829097032546997,1.4373966455459595,0.016522198915481567,0.5643,0.121,0.5042468020692468,5,hidden_categorical,fashion_mnist,456,deterministic
0.6101,1.162179708480835,0.17682899873852728,0.5544034242630005,1.540391445159912,0.019575374200940132,0.6101000000000001,0.088,2.151370980311185,20,hidden_categorical,fashion_mnist,456,deterministic
0.8588,0.4049643278121948,0.032692688292264904,0.20623978972434998,0.29717758297920227,0.0,0.8587999999999999,0.493,0.10545094823464751,1,sap,fashion_mnist,456,deterministic
0.882,0.33591610193252563,0.013664217936992653,0.1732805222272873,0.35788798332214355,0.0031093917787075043,0.882,0.531,0.4999692449346185,5,sap,fashion_mnist,456,deterministic
0.8859,0.32537803053855896,0.020040766322612744,0.16729982197284698,0.36878281831741333,0.0036446263547986746,0.8859,0.533,1.9797876169905066,20,sap,fashion_mnist,456,deterministic
0.8776,0.3533044755458832,0.021189655077457438,0.18068568408489227,0.2839878499507904,0.0,0.8776000000000002,0.523,0.1051013651303947,1,gaussian,fashion_mnist,456,deterministic
0.8859,0.3204743564128876,0.0037657340258359646,0.16620929539203644,0.3166566789150238,0.0014542383141815662,0.8859,0.549,0.4971002000384033,5,gaussian,fashion_mnist,456,deterministic
0.8892,0.3153691291809082,0.006525152224302263,0.16345345973968506,0.3212294578552246,0.0017239090520888567,0.8892,0.539,2.1286148098297417,20,gaussian,fashion_mnist,456,deterministic
0.8947,0.3036613166332245,0.013551257053017652,0.15521027147769928,0.255799263715744,0.0,0.8946999999999999,0.68,0.1041211448609829,1,dropout_eval,fashion_mnist,456,dropout
0.884,0.3290608525276184,0.014383566549420386,0.16694766283035278,0.27507197856903076,0.0,0.884,0.66,0.10450381180271506,1,mc_dropout,fashion_mnist,456,dropout
0.8899,0.31032201647758484,0.008191078951954846,0.1577162891626358,0.30052947998046875,0.0010796665446832776,0.8899000000000001,0.671,0.4921219041571021,5,mc_dropout,fashion_mnist,456,dropout
0.8929,0.3047090470790863,0.005222135722637198,0.1558978110551834,0.3056809902191162,0.0012749814195558429,0.8929,0.677,2.011870772112161,20,mc_dropout,fashion_mnist,456,dropout
