dataset,model_variant,method,sample_count,n_seeds,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,nll_mean,nll_std,nll_ci_low,nll_ci_high,ece_mean,ece_std,ece_ci_low,ece_ci_high,brier_mean,brier_std,brier_ci_low,brier_ci_high,entropy_mean,entropy_std,entropy_ci_low,entropy_ci_high,prob_variance_mean,prob_variance_std,prob_variance_ci_low,prob_variance_ci_high,eval_seconds_mean,eval_seconds_std,eval_seconds_ci_low,eval_seconds_ci_high,per_class_accuracy_min_mean,per_class_accuracy_min_std,per_class_accuracy_min_ci_low,per_class_accuracy_min_ci_high
mnist,deterministic,gaussian,20,3,0.9853333333333333,0.0011930353445448781,0.9823696692424984,0.9882969974241682,0.04449580982327461,0.0028601189506603235,0.03739088047784752,0.051600739168701705,0.0034676424781481794,0.0009991324804980721,0.0009856598043082674,0.0059496251519880914,0.02227723163863023,0.0014622324986663514,0.018644844745346233,0.025909618531914227,0.052846760799487434,0.0038044600664337114,0.043395958075611286,0.06229756352336358,0.0003778767907836785,6.734270531916053e-05,0.00021058823688906226,0.0005451653446782947,2.033791093621403,0.09604862446115306,1.7951930834357075,2.2723891038070985,0.970961890555161,0.004923144379284508,0.9587321219421887,0.9831916591681333
mnist,deterministic,hidden_categorical,1,3,0.6227666666666667,0.06259331700216354,0.4672762473980491,0.7782570859352842,2.4040744304656982,0.34828714812507905,1.538881191290216,3.2692676696411804,0.15181510331630707,0.043407517257280724,0.04398485272404276,0.25964535390857135,0.5879687269528707,0.04350957321265636,0.4798849553131491,0.6960524985925923,0.8513786594072977,0.2705883205249245,0.17920000803214697,1.5235573107824485,0.0,0.0,0.0,0.0,0.10923757186780374,0.003425434620993241,0.10072832054665923,0.11774682318894825,0.3185933036619772,0.17891386227744546,-0.12585336877632985,0.7630399761002842
mnist,deterministic,hidden_categorical,5,3,0.7436333333333334,0.0836399625378523,0.5358601481836696,0.9514065184829972,0.8761451244354248,0.20984693560686438,0.3548564379991699,1.3974338108716797,0.1878526305620869,0.033307971299696086,0.10511104295461418,0.27059421816955964,0.4197022219498952,0.09363099337721334,0.18710994031291414,0.6522945035868762,1.1954087018966675,0.1907984661463871,0.7214390367983086,1.6693783669950264,0.016560793854296207,0.004806906391909827,0.004619776409299293,0.02850181129929312,0.5088039259426296,0.0032226216172057598,0.5007984900526269,0.5168093618326323,0.4157452876201795,0.20517360009207739,-0.09393418982413093,0.9254247650644899
mnist,deterministic,hidden_categorical,20,3,0.7941333333333334,0.09265254088978529,0.5639716624195282,1.0242950042471386,0.8327803611755371,0.21451545211850176,0.29989443681479466,1.3656662855362796,0.25374885027358934,0.03394396759561686,0.16942736028288632,0.3380703402642924,0.38818169633547467,0.10441865520183755,0.12879137713833527,0.6475720155326141,1.3042405049006145,0.15470849017323515,0.9199233101333257,1.6885576996679033,0.01966298247377078,0.005767977398066734,0.005334532298709661,0.03399143264883189,2.055790928968539,0.09464243166696629,1.8206860953328743,2.2908957626042037,0.465250120578042,0.23853227308839448,-0.12729689447036702,1.057797135626451
mnist,deterministic,output_sample,1,3,0.9786333333333334,0.001871719352182178,0.9739837247047647,0.983282941961902,0.5903828144073486,0.051717528975269475,0.4619093503213413,0.718856278493356,0.021366666666666645,0.001871719352182178,0.016717058038098,0.02601627529523529,0.04273333276311556,0.0037434379512866008,0.03343411737672712,0.052032548149504004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319103667822977,0.044408003725000755,0.02159477002547419,0.2422259635391212,0.9550788285309015,0.010109894391189778,0.9299644586119339,0.9801931984498692
mnist,deterministic,output_sample,5,3,0.9838999999999999,0.0018520259177452314,0.9792993125745899,0.9885006874254099,0.21958168844381967,0.034399449661462876,0.1341287182763226,0.30503465861131673,0.0073600003674626135,0.0005973283692702891,0.005876154439059962,0.008843846295865265,0.026472000405192375,0.002761436854436951,0.019612210976468338,0.03333178983391641,0.024469311038653057,0.0027230348047064343,0.01770491758987311,0.031233704487433005,0.001587466763642927,0.00017152924228588495,0.0011613645042126007,0.002013569023073253,0.5704553703156611,0.11223118497609907,0.29165765128210625,0.8492530893492158,0.9659233903764138,0.006039978546215218,0.9509192518915976,0.98092752886123
mnist,deterministic,output_sample,20,3,0.9851333333333333,0.0017616280348964834,0.9807572066977703,0.9895094599688963,0.11235514283180237,0.015712715502177114,0.07332259369884017,0.15138769196476456,0.003411670951048542,0.0015726233688400579,-0.0004949420658668948,0.007318283967963978,0.023070666939020157,0.0018832590008748097,0.018392392233953794,0.02774894164408652,0.032466198007265724,0.0027065917113278733,0.02574265146684529,0.03918974454768616,0.0018692666587109368,0.0001345957306815673,0.0015349123282842644,0.002203620989137609,2.062309286867579,0.08784056064882076,1.8441012375385513,2.2805173361966067,0.9692863475808755,0.005158343670463628,0.9564723115389082,0.9821003836228428
mnist,deterministic,sap,1,3,0.9722,0.0022715633383201136,0.9665571238466495,0.9778428761533504,0.08765166501204173,0.0036996094049449564,0.07846132577047177,0.0968420042536117,0.007144849547247103,0.0011360538729954692,0.004322735278759038,0.009966963815735167,0.042521736274162926,0.003139041807631556,0.034723924141064455,0.0503195484072614,0.060674719512462616,0.01043484292220163,0.034753132693230535,0.0865963063316947,0.0,0.0,0.0,0.0,0.10693540998424093,0.002092397129374392,0.10173760736720387,0.112133212601278,0.942418303712854,0.0073117491531020495,0.9242549119027746,0.9605816955229333
mnist,deterministic,sap,5,3,0.9835333333333333,0.0006658328118479299,0.9818793129357011,0.9851873537309654,0.05920306841532389,0.0023841508767931223,0.05328050931177948,0.0651256275188683,0.01449682941138745,0.004406866430221381,0.003549566321427963,0.025444092501346938,0.0278256107121706,0.0007018729612853712,0.02608206162018373,0.02956915980415747,0.09117023646831512,0.014138270340146973,0.05604882593743486,0.12629164699919537,0.0014823010036100943,0.000215647227123319,0.000946603594278669,0.0020179984129415195,0.5537508951189617,0.09120385702504885,0.3271879544259526,0.7803138358119708,0.9692982188367661,0.006049997002286499,0.9542691931274098,0.9843272445461225
mnist,deterministic,sap,20,3,0.9851333333333333,0.0011718930554164603,0.982222189600235,0.9880444770664316,0.05515953774253527,0.00271027291132785,0.0484268465943704,0.06189222889070014,0.01666361759106318,0.005082766316566202,0.004037326104066761,0.029289909078059596,0.025439354901512463,0.0008058843829526365,0.023437427114509173,0.027441282688515752,0.09962120403846104,0.015304688494141936,0.06160225018357169,0.1376401578933504,0.0017106789164245129,0.0002224156108477246,0.0011581679098356945,0.0022631899230133312,2.0408586002886295,0.08905698961531124,1.8196287738902774,2.2620884266869816,0.9709500192992703,0.004024334178376047,0.9609530190020805,0.98094701959646
mnist,dropout,dropout_eval,1,3,0.9880999999999999,0.0013076696830622236,0.9848515684257924,0.9913484315742074,0.03576909191906452,0.004034873240561773,0.025745911140052757,0.045792272698076286,0.0015758900523185756,0.0005825918243277008,0.00012865173094871066,0.0030231283736884404,0.017828669399023056,0.0016121290636289811,0.013823918795853558,0.021833420002192554,0.03484061981240908,0.004465461962856849,0.02374779735008973,0.04593344227472843,0.0,0.0,0.0,0.0,0.10440348212917645,0.0005305305742647774,0.10308557112240876,0.10572139313594414,0.9782962405285541,0.006313593764759903,0.9626124041608423,0.993980076896266
mnist,dropout,mc_dropout,1,3,0.9843666666666667,0.0017214335111566934,0.9800903887633315,0.9886429445700019,0.04835676153500875,0.006881567104935714,0.0312620011736974,0.0654515218963201,0.0016913075606028265,0.0002322303973200928,0.0011144152728052212,0.0022681998484004318,0.023552134012182552,0.0028203312046205884,0.01654604290715831,0.030558225117206794,0.04681308567523956,0.00583687011634096,0.03231349650064845,0.061312674849830676,0.0,0.0,0.0,0.0,0.10466763687630494,9.790996188079627e-05,0.10442441504764081,0.10491085870496906,0.9707689163289152,0.006669397511411065,0.9542012144561651,0.9873366182016652
mnist,dropout,mc_dropout,5,3,0.9876666666666667,0.0017616280348965066,0.9832905400311036,0.9920427933022298,0.04022990291317304,0.005100955329561558,0.027558427413055343,0.05290137841329074,0.0055753529409567374,0.00036785092059925473,0.004661560596794052,0.006489145285119423,0.019265821824471157,0.0023562475974503675,0.013412578309423589,0.025119065339518725,0.05641188099980354,0.006763997787879758,0.039609179012735626,0.07321458298687146,0.00043118166892478865,6.768053683563663e-05,0.00026305389501987637,0.000599309442829701,0.5495153920104107,0.09002633386639979,0.32587758100226105,0.7731532030185603,0.9771837733191809,0.0061791260176155965,0.9618339733531645,0.9925335732851974
mnist,dropout,mc_dropout,20,3,0.9882333333333334,0.0014433756729740337,0.9846477893918756,0.9918188772747912,0.03843598688642184,0.004179223307492521,0.02805422066245372,0.04881775311038995,0.006440616218248994,0.0005255562416937151,0.005135062138611865,0.007746170297886123,0.018376987427473068,0.0016739112793578018,0.01421876129229611,0.022535213562650026,0.059150565415620804,0.006282302367286819,0.04354446118842524,0.07475666964281637,0.0004924793320242316,5.131999578524208e-05,0.00036499339512724373,0.0006199652689212194,2.0137124525693557,0.0885354414444418,1.7937782236507547,2.2336466814879565,0.97664444006605,0.00910608464802791,0.9540236717854932,0.9992652083466068
